date,market,investor_type,bid_raw,ask_raw,net_raw,raw_unit_hint
2026-01-13,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-13,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-13,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-13,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-13,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-13,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-14,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-14,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-14,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-14,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-14,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-14,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-15,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-15,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-15,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-15,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-15,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-15,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-16,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-16,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-16,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-16,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-16,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-16,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-19,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-19,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-19,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-19,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-19,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-19,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-20,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-20,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-20,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-20,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-20,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-20,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-21,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-21,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-21,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-21,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-21,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-21,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-22,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-22,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-22,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-22,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-22,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-22,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-23,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-23,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-23,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-23,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-23,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-23,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-26,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-26,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-26,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-26,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-26,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-26,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-27,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-27,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-27,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-27,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-27,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-27,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-28,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-28,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-28,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-28,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-28,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-28,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-29,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-29,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-29,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-29,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-29,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-29,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-01-30,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-01-30,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-01-30,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-01-30,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-01-30,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-01-30,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-02,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-02,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-02,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-02,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-02,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-02,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-03,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-03,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-03,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-03,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-03,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-03,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-04,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-04,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-04,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-04,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-04,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-04,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-05,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-05,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-05,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-05,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-05,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-05,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-06,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-06,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-06,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-06,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-06,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-06,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-09,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-09,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-09,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-09,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-09,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-09,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-10,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-10,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-10,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-10,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-10,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-10,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-11,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-11,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-11,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-11,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-11,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-11,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-12,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-12,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-12,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-12,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-12,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-12,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-13,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-13,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-13,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-13,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-13,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-13,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-16,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-16,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-16,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-16,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-16,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-16,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-17,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-17,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-17,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-17,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-17,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-17,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-18,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-18,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-18,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-18,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-18,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-18,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-19,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-19,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-19,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-19,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-19,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-19,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-20,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-20,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-20,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-20,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-20,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-20,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-23,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-23,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-23,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-23,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-23,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-23,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-24,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-24,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-24,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-24,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-24,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-24,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-25,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-25,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-25,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-25,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-25,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-25,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-26,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-26,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-26,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-26,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-26,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-26,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
2026-02-27,KOSDAQ,institution_total,1363,917,446,기관(십억원)
2026-02-27,KOSDAQ,개인(십억원),9701,10174,-472,개인(십억원)
2026-02-27,KOSDAQ,외국인(십억원),3669,3606,62,외국인(십억원)
2026-02-27,KOSPI,institution_total,8531,7965,567,기관(십억원)
2026-02-27,KOSPI,개인(십억원),23578,17328,6250,개인(십억원)
2026-02-27,KOSPI,외국인(십억원),22186,29239,-7053,외국인(십억원)
